"","GT","BF","AF","IT","Mat","cvprop","cvspeed"
"1","col ","18","18","18","18-18",0.438956010722084,0.460659821389194
"2","col ","18","18","24","18-18",0.693507059858972,0.738528868070603
"3","col ","18","24","18","18-24",0.0341391280045032,0.0647925403245627
"4","col ","18","24","24","18-24",0.133606966832778,0.17965208566373
"5","col ","24","18","18","24-18",0.709514788642673,0.656824042954408
"6","col ","24","18","24","24-18",1.19940751471112,1.18209126500664
"7","col ","24","24","18","24-24",0.0291198465515103,0.134392768602445
"8","col ","24","24","24","24-24",0.069508363633014,0.138104880787377
"9","rdr2","18","18","18","18-18",0.368420698272044,0.422568874544109
"10","rdr2","18","18","24","18-18",1.17260393995586,0.880859784383369
"11","rdr2","18","24","18","18-24",0,0.160563787175605
"12","rdr2","18","24","24","18-24",0.125425963380227,0.178777674848025
"13","rdr2","24","18","18","24-18",0.504330758834421,0.531425179337648
"14","rdr2","24","18","24","24-18",0.992156741649221,1.06817858984767
"15","rdr2","24","24","18","24-24",0.0371497069051762,0.0786204091270336
"16","rdr2","24","24","24","24-24",0.22803204026327,0.29046802321564
"17","rdr6","18","18","18","18-18",0.320050561822329,0.419676535118009
"18","rdr6","18","18","24","18-18",0.855715210049499,0.891489313113626
"19","rdr6","18","24","18","18-24",0.0167597765363129,0.0687537232018516
"20","rdr6","18","24","24","18-24",0.569175997990011,0.599422164913999
"21","rdr6","24","18","18","24-18",0.605671766561096,0.701003031272906
"22","rdr6","24","18","24","24-18",1.46850593982144,1.38376764332733
"23","rdr6","24","24","18","24-24",0.0902948078710482,0.140157647823957
"24","rdr6","24","24","24","24-24",0.399731433333428,0.43199301368216
"25","dcl234","18","18","18","18-18",0.881378509195391,0.897608468262184
"26","dcl234","18","18","24","18-18",2.12132034355964,2.26932623420824
"27","dcl234","18","24","18","18-24",0.0373619909446343,0.0670918948793061
"28","dcl234","18","24","24","18-24",0.352344693407964,0.400673874594845
"29","dcl234","24","18","18","24-18",1.28124222247515,1.27696991476106
"30","dcl234","24","18","24","24-18",NA,NA
"31","dcl234","24","24","18","24-24",0.0254237288135593,0.0324734390915218
"32","dcl234","24","24","24","24-24",0.645519719388951,0.66147776363503
"33","ago4","18","18","18","18-18",0.466791963129299,0.448851585862945
"34","ago4","18","18","24","18-18",0.724425120515813,0.701379566082704
"35","ago4","18","24","18","18-24",0.0681818181818182,0.13369776234721
"36","ago4","18","24","24","18-24",0.0552736428256556,0.0978809388877227
"37","ago4","24","18","18","24-18",0.410369075074838,0.501093632601567
"38","ago4","24","18","24","24-18",0.863813330174845,0.762100370308933
"39","ago4","24","24","18","24-24",0,0.0886733928232548
"40","ago4","24","24","24","24-24",0.0254237288135593,0.0927380000039963
"41","nrpd2a","18","18","18","18-18",0.289681939062222,0.354540196568201
"42","nrpd2a","18","18","24","18-18",0.38455903271594,0.500196195965914
"43","nrpd2a","18","24","18","18-24",0.0346820809248555,0.0771882408915605
"44","nrpd2a","18","24","24","18-24",0.142014120600663,0.163998928129128
"45","nrpd2a","24","18","18","24-18",0.407978555847636,0.500612260365265
"46","nrpd2a","24","18","24","24-18",0.870025542409213,0.599249342901868
"47","nrpd2a","24","24","18","24-24",0.0371497069051762,0.0728188494287116
"48","nrpd2a","24","24","24","24-24",0.15291936978684,0.191296413351195
"49","rdd","18","18","18","18-18",0.523506617338322,0.562048713450644
"50","rdd","18","18","24","18-18",0.707316948164345,0.760049510940072
"51","rdd","18","24","18","18-24",0.183983223649299,0.252168568405648
"52","rdd","18","24","24","18-24",0.375660066056364,0.421978933751035
"53","rdd","24","18","18","24-18",0.672413793103448,0.688627805702281
"54","rdd","24","18","24","24-18",0.9,0.764626503236869
"55","rdd","24","24","18","24-24",0.0874158976490779,0.165110636408705
"56","rdd","24","24","24","24-24",0.32560415600273,0.309410678524425
"57","ler ","18","18","18","18-18",0.716585178594854,0.800265890721412
"58","ler ","18","18","24","18-18",0.873937162230899,1.0692189433847
"59","ler ","18","24","18","18-24",0.0590689758447958,0.1082716844213
"60","ler ","18","24","24","18-24",0.0951598181023821,0.198369359959536
"61","ler ","24","18","18","24-18",0.905863938989338,0.780806537007245
"62","ler ","24","18","24","24-18",1.28253979024367,1.26521790401908
"63","ler ","24","24","18","24-24",0.062319354191017,0.178630824568273
"64","ler ","24","24","24","24-24",0.141827168006288,0.188666309737882
