BG,GT,Rep,BF,mat,AF,IT,ID,n,germ.1,germ.2,germ.3,germ.4,germ.5,germ.6,germ.7,germ.8,germ.9,germ.10,germ.11,germ.12,germ.13,germ.14,germ.15,germ.16,germ.17,germ.18
col,col ,1,18,18-18,18,18,1,20,0,0,1,2,4,8,8,9,9,9,9,9,9,9,9,9,9,9
col,col ,2,18,18-18,18,18,2,20,0,0,6,16,18,19,19,19,19,19,19,19,19,19,19,19,19,19
col,col ,3,18,18-18,18,18,3,20,0,1,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5
col,col ,4,18,18-18,18,18,4,20,0,1,6,14,15,17,17,17,17,17,17,17,17,17,17,17,17,17
col,col ,5,18,18-18,18,18,5,20,0,0,3,8,11,12,12,12,12,12,12,12,12,12,12,12,12,12
col,col ,6,18,18-18,18,18,6,20,0,0,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
col,col ,7,18,18-18,18,18,7,20,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
col,col ,8,18,18-18,18,18,8,20,0,0,8,10,15,16,17,17,18,19,19,19,19,19,19,19,19,19
col,col ,9,18,18-18,18,18,9,20,0,0,4,5,6,8,9,9,9,9,9,9,9,9,9,9,9,9
col,col ,10,18,18-18,18,18,10,20,0,0,6,10,12,14,14,14,14,14,14,14,14,14,14,14,14,14
col,col ,11,18,18-18,18,18,11,20,0,0,2,6,7,10,10,10,10,10,10,10,10,10,10,10,10,10
col,col ,12,18,18-18,18,18,12,20,0,0,0,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7
col,col ,1,18,18-18,18,24,13,21,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,3,3,3
col,col ,2,18,18-18,18,24,14,20,0,0,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4
col,col ,3,18,18-18,18,24,15,20,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
col,col ,4,18,18-18,18,24,16,20,0,0,2,4,8,9,9,9,9,9,9,9,9,9,9,9,9,9
col,col ,5,18,18-18,18,24,17,20,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
col,col ,6,18,18-18,18,24,18,20,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
col,col ,7,18,18-18,18,24,19,20,0,0,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9
col,col ,8,18,18-18,18,24,20,20,0,0,5,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8
col,col ,9,18,18-18,18,24,21,20,0,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
col,col ,10,18,18-18,18,24,22,20,0,0,2,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10
col,col ,11,18,18-18,18,24,23,20,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
col,col ,12,18,18-18,18,24,24,20,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2
ler,ler ,1,18,18-18,18,18,25,20,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3
ler,ler ,2,18,18-18,18,18,26,20,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3
ler,ler ,3,18,18-18,18,18,27,20,0,0,1,3,9,12,12,12,13,13,13,13,13,13,13,13,13,13
ler,ler ,4,18,18-18,18,18,28,20,0,0,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4
ler,ler ,5,18,18-18,18,18,29,20,0,0,1,6,7,7,9,10,10,10,11,11,11,11,11,11,11,11
