background,geno,rep,mat,bf,af,inc,Plate.ID,n,germ.1,germ.2,germ.3,germ.4,germ.5,germ.6,germ.7,germ.10,germ.15
col,col,1,ll,LD,LD,ld,1,20,0,0,5,5,6,6,6,6,10
col,col,2,ll,LD,LD,ld,2,20,0,1,4,4,4,4,4,5,6
col,col,3,ll,LD,LD,ld,3,20,0,2,3,5,6,6,7,7,7
col,col,4,ll,LD,LD,ld,4,20,0,0,6,5,5,6,5,7,8
col,col,5,ll,LD,LD,ld,5,20,0,0,1,1,1,3,2,3,3
col,col,6,ll,LD,LD,ld,6,20,0,0,7,7,7,7,7,7,7
col,col,1,ll,LD,LD,sd,7,20,0,0,3,8,10,10,10,11,11
col,col,2,ll,LD,LD,sd,8,20,0,0,0,0,0,0,0,0,1
col,col,3,ll,LD,LD,sd,9,20,0,0,2,3,3,3,3,5,5
col,col,4,ll,LD,LD,sd,10,20,0,0,4,6,6,7,7,7,7
col,col,5,ll,LD,LD,sd,11,20,0,0,8,9,9,10,10,10,10
col,col,6,ll,LD,LD,sd,12,20,0,0,5,5,5,6,7,10,10
col,tem1,1,ll,LD,LD,ld,13,20,0,0,0,0,0,0,0,1,6
col,tem1,2,ll,LD,LD,ld,14,20,0,0,0,0,0,0,0,0,12
col,tem1,3,ll,LD,LD,ld,15,20,0,0,2,2,3,3,3,4,6
col,tem1,4,ll,LD,LD,ld,16,20,0,0,0,1,1,1,1,1,6
col,tem1,5,ll,LD,LD,ld,17,20,0,0,8,9,9,9,9,10,13
col,tem1,6,ll,LD,LD,ld,18,20,0,0,0,0,0,1,0,1,10
col,tem1,1,ll,LD,LD,sd,19,20,0,0,0,0,3,2,2,5,7
col,tem1,2,ll,LD,LD,sd,20,20,0,0,0,0,0,0,0,1,4
col,tem1,3,ll,LD,LD,sd,21,20,0,0,0,0,0,0,0,0,2
col,tem1,4,ll,LD,LD,sd,22,20,0,0,0,0,0,0,0,4,5
col,tem1,5,ll,LD,LD,sd,23,20,0,0,1,6,6,6,6,7,7
col,tem1,6,ll,LD,LD,sd,24,20,0,0,0,2,4,5,5,5,5
col,OX-TEM1,1,ll,LD,LD,ld,25,10,0,1,1,1,1,1,2,2,4
col,OX-TEM1,2,ll,LD,LD,ld,26,20,0,0,0,0,0,0,0,0,1
col,OX-TEM1,3,ll,LD,LD,ld,27,20,0,0,0,0,0,1,1,5,11
col,OX-TEM1,4,ll,LD,LD,ld,28,20,0,1,2,3,3,3,3,4,5
col,OX-TEM1,5,ll,LD,LD,ld,29,8,0,0,0,0,0,1,1,1,4
col,OX-TEM1,6,ll,LD,LD,ld,30,20,0,0,1,1,2,3,3,5,6
col,OX-TEM1,1,ll,LD,LD,sd,31,10,0,0,0,0,0,0,1,1,4
col,OX-TEM1,2,ll,LD,LD,sd,32,20,0,0,0,0,0,0,0,0,0
col,OX-TEM1,3,ll,LD,LD,sd,33,20,0,0,0,0,0,0,0,0,1
col,OX-TEM1,4,ll,LD,LD,sd,34,20,0,0,0,0,0,0,0,0,1
col,OX-TEM1,5,ll,LD,LD,sd,35,7,0,0,0,0,0,0,0,1,2
col,tem1,6,ll,LD,LD,sd,36,20,0,0,0,0,0,2,2,3,3
col,ft,1,ll,LD,LD,sd,37,20,0,0,0,2,3,3,3,3,4
col,ft,2,ll,LD,LD,sd,38,19,0,0,1,6,6,6,6,6,6
col,ft,3,ll,LD,LD,sd,39,20,0,1,5,10,10,10,10,10,10
col,ft,4,ll,LD,LD,sd,40,20,0,0,0,1,1,3,3,5,8
col,ft,5,ll,LD,LD,ld,41,20,0,0,0,0,0,1,1,1,4
col,ft,6,ll,LD,LD,ld,42,20,0,0,1,1,2,3,3,3,3
col,ft,1,ll,LD,LD,ld,43,20,0,1,1,2,2,3,3,3,5
col,ft,2,ll,LD,LD,ld,44,20,0,0,3,4,5,5,6,6,8
col,ft,3,ll,LD,LD,ld,45,20,0,0,1,1,1,1,1,1,3
col,ft,4,ll,LD,LD,ld,46,20,0,0,2,3,3,5,5,6,8
col,ft,5,ll,LD,LD,sd,47,20,0,0,6,7,9,9,9,9,9
col,ft,6,ll,LD,LD,sd,48,20,0,0,1,7,7,7,7,7,9
col,fd,1,ll,LD,LD,ld,49,20,0,0,10,10,12,12,12,12,13
col,fd,2,ll,LD,LD,ld,50,20,0,0,2,4,4,4,4,5,6
col,fd,3,ll,LD,LD,ld,51,20,0,0,1,2,2,2,2,3,3
col,fd,4,ll,LD,LD,ld,52,20,0,1,6,7,7,7,8,9,10
col,fd,5,ll,LD,LD,ld,53,20,0,0,5,6,8,8,8,8,8
col,fd,6,ll,LD,LD,ld,54,20,0,0,3,3,5,5,5,5,5
col,fd,1,ll,LD,LD,sd,55,20,0,0,6,14,16,16,16,16,16
col,fd,2,ll,LD,LD,sd,56,20,0,0,8,10,10,10,10,11,10
col,fd,3,ll,LD,LD,sd,57,20,0,0,3,7,7,7,7,7,8
col,fd,4,ll,LD,LD,sd,58,20,0,0,6,7,10,10,11,11,11
col,fd,5,ll,LD,LD,sd,59,20,0,0,5,6,6,6,6,6,6
col,fd,6,ll,LD,LD,sd,60,20,0,0,0,3,4,4,4,4,4
col,soc1,1,ll,LD,LD,ld,61,20,0,1,3,3,4,4,4,4,5
col,soc1,2,ll,LD,LD,ld,62,20,0,0,3,5,7,7,7,8,9
col,soc1,3,ll,LD,LD,ld,63,20,0,1,9,12,12,12,12,12,12
col,soc1,4,ll,LD,LD,ld,64,20,0,3,10,11,11,11,12,12,13
col,soc1,5,ll,LD,LD,ld,65,20,0,0,2,4,6,6,6,7,9
col,soc1,6,ll,LD,LD,ld,66,20,0,1,7,11,10,11,11,11,10
col,soc1,1,ll,LD,LD,sd,67,20,0,1,7,7,7,7,7,7,7
col,soc1,2,ll,LD,LD,sd,68,20,0,1,4,5,5,5,5,5,5
col,soc1,3,ll,LD,LD,sd,69,20,0,0,11,12,12,12,12,12,12
col,soc1,4,ll,LD,LD,sd,70,20,0,4,8,14,14,14,14,14,14
col,soc1,5,ll,LD,LD,sd,71,20,0,0,10,14,14,14,14,14,14
col,soc1,6,ll,LD,LD,sd,72,20,0,0,10,15,19,19,18,19,19
col,ap1,1,ll,LD,LD,ld,73,20,0,0,2,3,3,4,4,6,13
col,ap1,2,ll,LD,LD,ld,74,20,0,0,4,7,9,9,9,13,14
col,ap1,3,ll,LD,LD,ld,75,20,0,0,10,10,11,11,11,12,12
col,ap1,4,ll,LD,LD,ld,76,20,0,0,5,8,11,12,12,15,15
col,ap1,5,ll,LD,LD,ld,77,20,0,0,3,5,6,8,9,11,13
col,ap1,6,ll,LD,LD,ld,78,20,0,0,1,2,4,5,5,7,9
col,ap1,1,ll,LD,LD,sd,79,20,0,2,9,10,10,11,11,11,11
col,ap1,2,ll,LD,LD,sd,80,20,0,0,8,15,15,16,16,17,18
col,ap1,3,ll,LD,LD,sd,81,20,0,0,12,15,16,18,17,19,19
col,ap1,4,ll,LD,LD,sd,82,20,0,0,2,3,5,9,9,13,12
col,ap1,5,ll,LD,LD,sd,83,20,0,0,0,3,6,7,8,12,13
col,ap1,6,ll,LD,LD,sd,84,20,0,0,4,8,11,12,12,13,14
col,col,1,ls,LD,SD,ld,85,17,0,5,7,7,7,9,9,9,10
col,col,2,ls,LD,SD,ld,86,20,0,0,2,2,3,4,6,11,14
col,col,3,ls,LD,SD,ld,87,20,0,0,1,2,2,3,3,5,10
col,col,4,ls,LD,SD,ld,88,20,0,0,1,2,2,2,2,2,3
col,col,5,ls,LD,SD,ld,89,20,0,1,2,2,2,2,2,2,9
col,col,6,ls,LD,SD,ld,90,20,0,0,4,5,5,5,5,7,8
col,col,1,ls,LD,SD,sd,91,20,0,4,7,8,9,10,10,11,11
col,col,2,ls,LD,SD,sd,92,20,0,0,3,4,7,11,10,12,12
col,col,3,ls,LD,SD,sd,93,20,0,2,11,11,12,11,12,14,14
col,col,4,ls,LD,SD,sd,94,20,0,0,3,3,3,3,3,3,6
col,col,5,ls,LD,SD,sd,95,21,0,2,8,8,8,10,10,12,12
col,col,6,ls,LD,SD,sd,96,20,0,1,7,8,9,9,10,11,11
col,tem1,1,ls,LD,SD,ld,97,20,0,1,4,5,6,6,6,7,10
col,tem1,2,ls,LD,SD,ld,98,16,0,0,1,1,1,1,2,3,7
col,OX-TEM1,3,ls,LD,SD,ld,99,4,0,0,0,0,0,0,0,0,0
col,tem1,4,ls,LD,SD,ld,100,20,0,1,6,8,8,10,11,11,13
col,tem1,5,ls,LD,SD,ld,101,20,0,1,5,5,6,9,9,13,17
col,tem1,6,ls,LD,SD,ld,102,20,0,1,7,13,14,13,13,15,16
col,tem1,2,ls,LD,SD,sd,104,16,0,1,8,8,8,8,9,9,9
col,OX-TEM1,3,ls,LD,SD,sd,105,3,0,0,0,0,0,0,0,0,0
col,tem1,4,ls,LD,SD,sd,106,20,0,3,6,7,7,7,7,7,8
col,tem1,5,ls,LD,SD,sd,107,20,0,1,13,16,17,18,19,19,20
col,tem1,6,ls,LD,SD,sd,108,20,0,2,7,6,6,7,7,7,7
col,OX-TEM1,1,ls,LD,SD,ld,109,8,0,0,3,3,3,4,4,4,4
col,OX-TEM1,2,ls,LD,SD,ld,110,5,0,0,1,0,1,1,1,1,2
col,tem1,3,ls,LD,SD,ld,111,20,0,0,5,7,8,10,10,10,11
col,OX-TEM1,4,ls,LD,SD,ld,112,20,0,0,0,2,4,8,9,11,13
col,OX-TEM1,5,ls,LD,SD,ld,113,11,0,0,0,0,0,0,1,1,2
col,OX-TEM1,6,ls,LD,SD,ld,114,4,0,0,0,0,2,2,2,2,3
col,OX-TEM1,1,ls,LD,SD,sd,115,8,0,0,0,0,0,1,1,4,4
col,OX-TEM1,2,ls,LD,SD,sd,116,4,0,0,0,0,1,1,2,3,3
col,tem1,3,ls,LD,SD,sd,117,20,0,1,9,11,12,12,14,14,14
col,OX-TEM1,4,ls,LD,SD,sd,118,20,0,0,0,0,0,0,0,3,6
col,OX-TEM1,5,ls,LD,SD,sd,119,12,0,0,0,0,0,0,0,0,0
col,OX-TEM1,6,ls,LD,SD,sd,120,4,0,0,0,1,1,1,1,1,1
col,ft,1,ls,LD,SD,ld,121,20,0,1,2,2,2,2,3,5,7
col,ft,2,ls,LD,SD,ld,122,20,0,0,2,2,2,2,3,3,5
col,ft,3,ls,LD,SD,ld,123,21,0,2,8,9,9,9,9,9,9
col,ft,4,ls,LD,SD,ld,124,20,0,0,8,8,8,8,8,8,8
col,ft,5,ls,LD,SD,ld,125,20,0,0,0,3,3,3,4,4,5
col,ft,6,ls,LD,SD,ld,126,20,0,0,1,3,5,5,6,6,8
col,ft,1,ls,LD,SD,sd,127,20,0,0,1,2,2,2,3,5,8
col,ft,2,ls,LD,SD,sd,128,20,0,0,4,8,8,8,8,11,12
col,ft,3,ls,LD,SD,sd,129,20,0,0,8,11,13,13,13,13,14
col,ft,4,ls,LD,SD,sd,130,20,0,0,9,10,12,12,12,11,13
col,ft,5,ls,LD,SD,sd,131,20,0,0,2,9,10,10,10,10,11
col,ft,6,ls,LD,SD,sd,132,20,0,0,0,2,2,2,2,5,5
col,fd,1,ls,LD,SD,ld,133,21,0,1,9,12,13,13,13,14,16
col,fd,2,ls,LD,SD,ld,134,20,0,0,6,6,7,7,7,10,14
col,fd,3,ls,LD,SD,ld,135,20,0,0,4,5,6,6,6,7,8
col,fd,4,ls,LD,SD,ld,136,20,0,0,5,5,6,7,7,8,11
col,fd,5,ls,LD,SD,ld,137,20,0,9,14,16,16,16,16,17,17
col,fd,6,ls,LD,SD,ld,138,20,0,2,13,15,15,15,15,15,14
col,fd,1,ls,LD,SD,sd,139,20,0,7,16,17,18,18,18,20,20
col,fd,2,ls,LD,SD,sd,140,20,0,8,14,14,14,14,14,15,17
col,fd,3,ls,LD,SD,sd,141,20,0,7,13,13,13,13,13,13,16
col,fd,4,ls,LD,SD,sd,142,20,0,5,10,12,13,13,13,14,15
col,fd,5,ls,LD,SD,sd,143,20,0,9,15,15,16,16,17,17,16
col,fd,6,ls,LD,SD,sd,144,20,0,1,11,13,13,14,14,15,16
col,soc1,1,ls,LD,SD,ld,145,20,0,0,9,12,13,13,13,13,13
col,soc1,2,ls,LD,SD,ld,146,21,0,1,12,13,14,14,15,15,15
col,soc1,4,ls,LD,SD,ld,148,20,0,0,6,6,7,7,7,7,12
col,soc1,5,ls,LD,SD,ld,149,20,0,0,5,7,7,7,7,5,8
col,soc1,6,ls,LD,SD,ld,150,20,0,0,7,11,12,12,14,14,14
col,soc1,1,ls,LD,SD,sd,151,20,0,0,9,13,13,14,16,16,17
col,soc1,2,ls,LD,SD,sd,152,20,0,1,8,11,13,13,13,14,15
col,soc1,3,ls,LD,SD,sd,153,20,0,0,3,10,11,12,12,12,12
col,soc1,4,ls,LD,SD,sd,154,20,0,1,16,18,18,18,18,18,18
col,soc1,5,ls,LD,SD,sd,155,20,0,0,5,13,13,13,13,15,16
col,soc1,6,ls,LD,SD,sd,156,20,0,0,14,16,16,16,16,17,16
col,ap1,1,ls,LD,SD,ld,157,20,0,4,12,14,17,17,17,18,18
col,ap1,2,ls,LD,SD,ld,158,16,0,0,5,5,10,9,11,14,13
col,ap1,3,ls,LD,SD,ld,159,11,0,0,2,0,2,2,2,3,5
col,ap1,4,ls,LD,SD,ld,160,20,0,1,5,6,6,8,9,12,14
col,ap1,5,ls,LD,SD,ld,161,20,0,0,1,1,2,3,4,6,6
col,ap1,6,ls,LD,SD,ld,162,20,0,2,5,5,6,9,11,13,13
