GT,IT,Mat,cvprop
col ,18,18-18,0.438956011
col ,24,18-18,0.69350706
col ,18,18-24,0.034139128
col ,24,18-24,0.133606967
col ,18,24-18,0.709514789
col ,24,24-18,1.199407515
col ,18,24-24,0.029119847
col ,24,24-24,0.069508364
rdr2,18,18-18,0.368420698
rdr2,24,18-18,1.17260394
rdr2,18,18-24,0
rdr2,24,18-24,0.125425963
rdr2,18,24-18,0.504330759
rdr2,24,24-18,0.992156742
rdr2,18,24-24,0.037149707
rdr2,24,24-24,0.22803204
rdr6,18,18-18,0.320050562
rdr6,24,18-18,0.85571521
rdr6,18,18-24,0.016759777
rdr6,24,18-24,0.569175998
rdr6,18,24-18,0.605671767
rdr6,24,24-18,1.46850594
rdr6,18,24-24,0.090294808
rdr6,24,24-24,0.399731433
dcl234,18,18-18,0.881378509
dcl234,24,18-18,2.121320344
dcl234,18,18-24,0.037361991
dcl234,24,18-24,0.352344693
dcl234,18,24-18,1.281242222
dcl234,24,24-18,NA
dcl234,18,24-24,0.025423729
dcl234,24,24-24,0.645519719
ago4,18,18-18,0.466791963
ago4,24,18-18,0.724425121
ago4,18,18-24,0.068181818
ago4,24,18-24,0.055273643
ago4,18,24-18,0.410369075
ago4,24,24-18,0.86381333
ago4,18,24-24,0
ago4,24,24-24,0.025423729
nrpd2a,18,18-18,0.289681939
nrpd2a,24,18-18,0.384559033
nrpd2a,18,18-24,0.034682081
nrpd2a,24,18-24,0.142014121
nrpd2a,18,24-18,0.407978556
nrpd2a,24,24-18,0.870025542
nrpd2a,18,24-24,0.037149707
nrpd2a,24,24-24,0.15291937
rdd,18,18-18,0.523506617
rdd,24,18-18,0.707316948
rdd,18,18-24,0.183983224
rdd,24,18-24,0.375660066
rdd,18,24-18,0.672413793
rdd,24,24-18,0.9
rdd,18,24-24,0.087415898
rdd,24,24-24,0.325604156
ler ,18,18-18,0.716585179
ler ,24,18-18,0.873937162
ler ,18,18-24,0.059068976
ler ,24,18-24,0.095159818
ler ,18,24-18,0.905863939
ler ,24,24-18,1.28253979
ler ,18,24-24,0.062319354
ler ,24,24-24,0.141827168
