flor,PED,genotipo,tallo
2/11/2021,97,W204,p
2/11/2021,97,W204,m
2/12/2021,98,W204,p
2/12/2021,98,W204,m
2/13/2021,99,W204,p
2/13/2021,99,W204,p
2/14/2021,100,W204,m
2/15/2021,101,W204,m
2/16/2021,102,W204,p
2/18/2021,104,W204,m
2/24/2021,110,W204,p
2/24/2021,110,W204,m
2/24/2021,110,W204,p
2/24/2021,110,W204,m
2/24/2021,110,W204,p
2/24/2021,110,W204,p
2/26/2021,112,W204,m
2/26/2021,112,W204,p
2/26/2021,112,W204,m
2/26/2021,112,W204,m
3/1/2021,115,W204,p
3/1/2021,115,W204,m
3/1/2021,115,W204,m
3/1/2021,115,W204,m
3/1/2021,115,W204,m
3/1/2021,115,W204,m
3/1/2021,115,W204,m
3/1/2021,115,W204,m
3/2/2021,116,W204,p
3/2/2021,116,W204,m
3/2/2021,116,W204,p
3/2/2021,116,W204,m
3/2/2021,116,W204,p
3/2/2021,116,W204,m
3/2/2021,116,W204,p
3/2/2021,116,W204,m
3/4/2021,118,W204,p
3/4/2021,118,W204,m
3/4/2021,118,W204,m
3/4/2021,118,W204,m
3/4/2021,118,W204,m
3/5/2021,119,W204,m
3/5/2021,119,W204,m
3/7/2021,121,W204,p
3/7/2021,121,W204,m
3/7/2021,121,W204,p
3/7/2021,121,W204,m
3/7/2021,121,W204,p
3/7/2021,121,W204,m
3/9/2021,123,W204,p
3/9/2021,123,W204,m
3/9/2021,123,W204,p
3/10/2021,124,W204,p
3/10/2021,124,W204,m
3/4/2021,118,C115,p
3/4/2021,118,C115,m
3/8/2021,122,C115,p
3/8/2021,122,C115,m
3/8/2021,122,C115,p
3/8/2021,122,C115,m
3/8/2021,122,C115,p
3/8/2021,122,C115,m
3/9/2021,123,C115,p
3/9/2021,123,C115,m
3/9/2021,123,C115,p
3/9/2021,123,C115,m
3/9/2021,123,C115,p
3/9/2021,123,C115,m
3/9/2021,123,C115,p
3/9/2021,123,C115,m
3/10/2021,124,C115,p
3/10/2021,124,C115,m
3/10/2021,124,C115,p
3/11/2021,125,C115,p
3/11/2021,125,C115,m
3/11/2021,125,C115,m
3/12/2021,126,C115,p
3/12/2021,126,C115,m
3/12/2021,126,C115,p
3/12/2021,126,C115,m
3/12/2021,126,C115,p
3/12/2021,126,C115,m
3/14/2021,128,C115,p
3/14/2021,128,C115,m
3/14/2021,128,C115,p
3/14/2021,128,C115,m
3/14/2021,128,C115,p
3/16/2021,130,C115,p
3/16/2021,130,C115,m
3/17/2021,131,C115,p
3/17/2021,131,C115,m
3/17/2021,131,C115,p
3/18/2021,132,C115,m
3/19/2021,133,C115,p
3/19/2021,133,C115,m
3/19/2021,133,C115,m
3/19/2021,133,C115,m
3/19/2021,133,C115,m
3/21/2021,135,C115,p
