X,Y,Ecotipo,Country,Latitud,Longitud,Lat.Decima,Long.Decim,30s_pp_09,30s_pp_08,30s_pp_03,30s_pp_02,30s_pp_01,30s_pp_07,30s_pp_06,30s_pp_05,30s_tm_11,30s_tm_12,30s_tm_01,30s_tm_09,30s_tm_08,30s_tm_05,30s_tm_04,30s_tm_07,30s_tm_06,30s_pp_10,30s_pp_11,30s_pp_12,30s_tm_02,30s_tm_10,30s_pp_04,30s_tm_03,Altitud
21.0111,52.23,Wa-1,Poland,52° 13′ 48″ N,21° 0′ 40″ E,52.229999999999997,21.011099999999999,46.00000,58.00000,31.00000,26.00000,25.00000,76.00000,68.00000,53.00000,3.10000,-0.20000,-2.00000,13.20000,17.90000,13.90000,8.20000,18.50000,16.90000,36.00000,41.00000,36.00000,-0.80000,8.20000,37.00000,2.80000,117.00000
3.3556,46.0186,Ra-0,France,46° 1′ 6.96″ N,3° 21′ 20.16″ E,46.018599999999999,3.355600000000000,69.00000,84.00000,41.00000,40.00000,46.00000,58.00000,74.00000,89.00000,6.30000,3.90000,3.00000,15.40000,18.60000,13.00000,8.70000,18.70000,16.00000,57.00000,51.00000,48.00000,4.10000,11.30000,52.00000,6.70000,403.00000
68.25,39.25,Sha,Tajikistan,39.25°N,68.25°E,39.250000000000000,68.250000000000000,14.00000,24.00000,63.00000,41.00000,38.00000,42.00000,45.00000,66.00000,-5.60000,-7.50000,-10.70000,7.50000,11.60000,3.20000,-2.10000,11.80000,7.90000,25.00000,25.00000,30.00000,-10.50000,0.90000,67.00000,-7.90000,3055.00000
10.8719,47.98402,Ler-0,Germany,47° 59′ 2.4″ N,10° 52′ 18.84″ E,47.984000000000002,10.871900000000000,89.00000,116.00000,59.00000,56.00000,52.00000,124.00000,129.00000,100.00000,2.90000,0.10000,-1.20000,13.00000,16.70000,12.00000,6.80000,17.00000,15.00000,68.00000,75.00000,65.00000,-0.30000,8.10000,78.00000,3.50000,615.00000
6.2006,60.3867,Oy-0,Norway,60° 23′ 12″ N,6° 12′ 2″ E,60.386699999999998,6.200600000000000,209.00000,145.00000,156.00000,162.00000,204.00000,116.00000,98.00000,78.00000,2.80000,0.80000,0.00000,10.70000,14.30000,10.20000,5.30000,14.90000,13.30000,213.00000,212.00000,246.00000,-0.10000,7.10000,83.00000,2.20000,80.00000
-23.5094,14.9164,Cvi-0,Cape Verde,14° 54′ 59″ N,23° 30′ 34″ W,14.916399999999999,-23.509399999999999,86.00000,58.00000,0.00000,1.00000,2.00000,7.00000,0.00000,0.00000,26.00000,24.10000,22.80000,27.10000,26.90000,24.50000,23.70000,26.10000,25.40000,33.00000,4.00000,4.00000,23.10000,26.90000,0.00000,23.40000,16.00000
7.5,45.0,Tu-0,Italy,"45°00'00.0""N","7°30'00.0""E",45.000000000000000,7.500000000000000,74.00000,77.00000,53.00000,41.00000,43.00000,55.00000,92.00000,117.00000,7.00000,3.50000,2.80000,18.40000,22.40000,16.00000,11.50000,22.90000,19.90000,89.00000,57.00000,41.00000,4.70000,13.00000,89.00000,8.50000,285.00000
30.0,52.3,Ws-0,Bielorrussia,"52°18'00.0""N","30°00'00.0""E",52.299999999999997,30.000000000000000,56.00000,63.00000,35.00000,31.00000,33.00000,88.00000,77.00000,54.00000,1.10000,-2.90000,-5.50000,12.20000,17.10000,13.60000,7.60000,18.20000,16.90000,45.00000,44.00000,43.00000,-4.30000,6.80000,43.00000,0.40000,132.00000
0.5,49.0,Cen-0,France,"49°00'00.0""N","0°30'00.0""E",49.000000000000000,0.500000000000000,60.00000,49.00000,56.00000,64.00000,72.00000,50.00000,55.00000,59.00000,7.20000,5.00000,4.00000,14.70000,17.20000,11.90000,8.40000,16.90000,14.60000,74.00000,73.00000,78.00000,4.30000,11.30000,52.00000,6.70000,189.00000
15.6308,56.1922,Ömö2-1,Sweden,56°11′32″N,15°37′51″E,56.192200000000000,15.630800000000001,64.00000,49.00000,37.00000,38.00000,48.00000,53.00000,45.00000,35.00000,4.00000,1.10000,-0.30000,12.40000,16.40000,10.50000,5.40000,16.80000,14.60000,56.00000,63.00000,56.00000,-0.50000,8.30000,33.00000,1.70000,6.00000
