Day,Ecotype,Mat+AC0-Treat,Frec
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,V,38
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Wa,NV,48
6,Ra,V,1
6,Ra,NV,2
6,Ra,NV,2
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,V,32
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Sha,NV,41
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,V,52
6,Ler,NV,62
6,Ler,NV,62
6,Ler,NV,62
6,Ler,NV,62
6,Ler,NV,62
6,Ler,NV,62
6,Ler,NV,62
