fecha,max,min,media,Media mensual,
30082023,24,5,"14,5","11,4638888888889",agosto
29082023,"19,2","9,9","14,55","10,3472222222222",julio
28082023,"14,4","5,5","9,95","10,2794117647059",junio
25082023,"16,1","3,2","9,65","12,5416666666667",mayo
24082023,"15,5","7,5","11,5",,
23082023,"14,2",6,"10,1",,
22082023,18,"8,4","13,2",,
21082023,"17,5","3,6","10,55",,
20082023,"12,5","5,9","9,2",,
19082023,"13,5",4,"8,75",,
14082023,"24,5","9,2","16,85",,
12082023,13,"3,5","8,25",,
10082023,"19,5","8,8","14,15",,
9082023,"18,5","4,4","11,45",,
8082023,15,"6,9","10,95",,
7082023,"14,8","5,3","10,05",,
4082023,"18,4","2,2","10,3",,
3082023,16,"8,8","12,4",,
31072023,"22,3","5,4","13,85",,
29072023,"17,8",8,"12,9",,
28072023,15,"2,7","8,85",,
27072023,"13,2",4,"8,6",,
26072023,16,6,11,,
25072023,15,"8,5","11,75",,
24072023,"12,5",9,"10,75",,
23072023,17,8,"12,5",,
20072023,"17,5","7,3","12,4",,
19072023,"12,2","0,5","6,35",,
16072023,12,1,"6,5",,
15072023,"13,7",4,"8,85",,
13072023,"11,6","6,2","8,9",,
12072023,"10,5","8,5","9,5",,
11072023,"13,1",8,"10,55",,
10072023,"16,4","8,1","12,25",,
7072023,16,5,"10,5",,
1072023,"17,5",3,"10,25",,
29062023,"14,3","2,5","8,4",,
28062023,17,"3,5","10,25",,
27062023,"16,9",7,"11,95",,
25062023,17,"9,2","13,1",,
24062023,"16,1","6,8","11,45",,
23062023,13,8,"10,5",,
22062023,16,"1,6","8,8",,
20062023,"14,2",6,"10,1",,
19062023,"15,6","0,5","8,05",,
17062023,"12,8","0,6","6,7",,
16062023,"14,6",2,"8,3",,
11062023,"10,6",1,"5,8",,
10062023,12,"6,2","9,1",,
6062023,20,"6,8","13,4",,
5062023,"16,3","3,7",10,,
4062023,"18,9","7,8","13,35",,
1062023,"23,3","7,7","15,5",,
31052023,"21,5","9,8","15,65",,
30052023,"17,5",3,"10,25",,
29052023,"15,5","0,2","7,85",,
27052023,"14,9","6,2","10,55",,
20052023,17,9,13,,
19052023,"19,4","5,1","12,25",,
18052023,22,9,"15,5",,
15052023,"25,7","7,5","16,6",,
14052023,"26,3","8,4","17,35",,
12052023,"18,7","4,1","11,4",,
11052023,"16,2",6,"11,1",,
10052023,"19,1",5,"12,05",,
9052023,"19,4","4,2","11,8",,
8052023,21,"7,2","14,1",,
4052023,"22,2","3,5","12,85",,
3052023,20,"1,5","10,75",,
2052023,19,"1,4","10,2",,
1052023,19,6,"12,5",,
